Data;Ora solare;Livello Punta Salute (cm)
15-gen-98;22.00;19
15-gen-98;23.00;36
16-gen-98;0.00;50
16-gen-98;1.00;55
16-gen-98;2.00;52
16-gen-98;3.00;40
16-gen-98;4.00;24
16-gen-98;5.00;11
16-gen-98;6.00;4
16-gen-98;7.00;0
16-gen-98;8.00;9
16-gen-98;9.00;22
16-gen-98;10.00;35
16-gen-98;11.00;46
16-gen-98;12.00;51
16-gen-98;13.00;43
16-gen-98;14.00;30
16-gen-98;15.00;11
16-gen-98;16.00;-8
16-gen-98;17.00;-21
16-gen-98;18.00;-29
16-gen-98;19.00;-28
16-gen-98;20.00;-17
16-gen-98;21.00;0
16-gen-98;22.00;20
16-gen-98;23.00;36
17-gen-98;0.00;50
17-gen-98;1.00;56
17-gen-98;2.00;56
17-gen-98;3.00;48
17-gen-98;4.00;32
17-gen-98;5.00;20
17-gen-98;6.00;9
17-gen-98;7.00;6
17-gen-98;8.00;7
17-gen-98;9.00;16
17-gen-98;10.00;25
17-gen-98;11.00;35
17-gen-98;12.00;39
17-gen-98;13.00;34
17-gen-98;14.00;20
17-gen-98;15.00;7
17-gen-98;16.00;-9
17-gen-98;17.00;-23
17-gen-98;18.00;-29
17-gen-98;19.00;-31
17-gen-98;20.00;-21
17-gen-98;21.00;-8
17-gen-98;22.00;8
17-gen-98;23.00;21
18-gen-98;0.00;35
18-gen-98;1.00;45
18-gen-98;2.00;49
18-gen-98;3.00;46
18-gen-98;4.00;36
18-gen-98;5.00;25
18-gen-98;6.00;16
18-gen-98;7.00;8
18-gen-98;8.00;6
18-gen-98;9.00;8
18-gen-98;10.00;14
18-gen-98;11.00;23
18-gen-98;12.00;28
18-gen-98;13.00;27
18-gen-98;14.00;22
18-gen-98;15.00;11
18-gen-98;16.00;0
18-gen-98;17.00;-10
18-gen-98;18.00;-17
18-gen-98;19.00;-20
18-gen-98;20.00;-16
18-gen-98;21.00;-6
18-gen-98;22.00;9
18-gen-98;23.00;23
19-gen-98;0.00;36
19-gen-98;1.00;48
19-gen-98;2.00;58
19-gen-98;3.00;59
19-gen-98;4.00;56
19-gen-98;5.00;48
19-gen-98;6.00;37
19-gen-98;7.00;28
19-gen-98;8.00;24
19-gen-98;9.00;28
19-gen-98;10.00;36
19-gen-98;11.00;43
19-gen-98;12.00;49
19-gen-98;13.00;55
19-gen-98;14.00;55
19-gen-98;15.00;48
19-gen-98;16.00;35
19-gen-98;17.00;24
19-gen-98;18.00;17
19-gen-98;19.00;11
19-gen-98;20.00;11
19-gen-98;21.00;14
19-gen-98;22.00;25
19-gen-98;23.00;36
20-gen-98;0.00;47
20-gen-98;1.00;55
20-gen-98;2.00;56
20-gen-98;3.00;52
20-gen-98;4.00;45
20-gen-98;5.00;35
20-gen-98;6.00;24
20-gen-98;7.00;17
20-gen-98;8.00;14
20-gen-98;9.00;11
20-gen-98;10.00;11
20-gen-98;11.00;14
20-gen-98;12.00;19
20-gen-98;13.00;20
20-gen-98;14.00;17
20-gen-98;15.00;16
20-gen-98;16.00;14
20-gen-98;17.00;12
20-gen-98;18.00;11
20-gen-98;19.00;12
20-gen-98;20.00;16
20-gen-98;21.00;22
20-gen-98;22.00;25
20-gen-98;23.00;28
21-gen-98;0.00;31
21-gen-98;1.00;35
21-gen-98;2.00;39
21-gen-98;3.00;41
21-gen-98;4.00;41
21-gen-98;5.00;40
21-gen-98;6.00;36
21-gen-98;7.00;31
21-gen-98;8.00;25
21-gen-98;9.00;20
21-gen-98;10.00;15
21-gen-98;11.00;11
21-gen-98;12.00;11
21-gen-98;13.00;11
21-gen-98;14.00;15
21-gen-98;15.00;18
21-gen-98;16.00;23
21-gen-98;17.00;27
21-gen-98;18.00;31
21-gen-98;19.00;33
21-gen-98;20.00;30
21-gen-98;21.00;23
21-gen-98;22.00;17
21-gen-98;23.00;14
22-gen-98;0.00;12
22-gen-98;1.00;16
22-gen-98;2.00;23
22-gen-98;3.00;31
22-gen-98;4.00;38
22-gen-98;5.00;39
22-gen-98;6.00;40
22-gen-98;7.00;39
22-gen-98;8.00;32
22-gen-98;9.00;27
22-gen-98;10.00;20
22-gen-98;11.00;13
22-gen-98;12.00;8
22-gen-98;13.00;4
22-gen-98;14.00;4
22-gen-98;15.00;11
22-gen-98;16.00;19
22-gen-98;17.00;24
22-gen-98;18.00;31
22-gen-98;19.00;38
22-gen-98;20.00;37
22-gen-98;21.00;33
22-gen-98;22.00;25
22-gen-98;23.00;17
23-gen-98;0.00;11
23-gen-98;1.00;11
23-gen-98;2.00;16
23-gen-98;3.00;26
23-gen-98;4.00;36
23-gen-98;5.00;48
23-gen-98;6.00;57
23-gen-98;7.00;57
23-gen-98;8.00;52
23-gen-98;9.00;41
23-gen-98;10.00;30
23-gen-98;11.00;19
23-gen-98;12.00;9
23-gen-98;13.00;4
23-gen-98;14.00;1
23-gen-98;15.00;4
23-gen-98;16.00;12
23-gen-98;17.00;23
23-gen-98;18.00;35
23-gen-98;19.00;40
23-gen-98;20.00;42
23-gen-98;21.00;41
23-gen-98;22.00;36
23-gen-98;23.00;24
24-gen-98;0.00;17
24-gen-98;1.00;15
24-gen-98;2.00;16
24-gen-98;3.00;25
24-gen-98;4.00;36
24-gen-98;5.00;47
24-gen-98;6.00;55
24-gen-98;7.00;62
24-gen-98;8.00;63
24-gen-98;9.00;57
24-gen-98;10.00;46
24-gen-98;11.00;34
24-gen-98;12.00;20
24-gen-98;13.00;8
24-gen-98;14.00;-1
24-gen-98;15.00;-8
