Data;Ora solare;Livello Punta Salute (cm);;;
16-gen-99;3.00;4;;;
16-gen-99;4.00;4;;;
16-gen-99;5.00;9;;;
16-gen-99;6.00;23;;;
16-gen-99;7.00;36;;;
16-gen-99;8.00;50;;;
16-gen-99;9.00;56;;;
16-gen-99;10.00;55;;;
16-gen-99;11.00;47;;;
16-gen-99;12.00;31;;;
16-gen-99;13.00;11;;;
16-gen-99;14.00;-8;;;
16-gen-99;15.00;-24;;;
16-gen-99;16.00;-36;;;
16-gen-99;17.00;-40;;;
16-gen-99;18.00;-31;;;
16-gen-99;19.00;-13;;;
16-gen-99;20.00;6;;;
16-gen-99;21.00;23;;;
16-gen-99;22.00;36;;;
16-gen-99;23.00;43;;;
16-gen-99;0.00;43;;;
17-gen-99;1.00;32;;;
17-gen-99;2.00;20;;;
17-gen-99;3.00;6;;;
17-gen-99;4.00;-4;;;
17-gen-99;5.00;-5;;;
17-gen-99;6.00;4;;;
17-gen-99;7.00;20;;;
17-gen-99;8.00;36;;;
17-gen-99;9.00;51;;;
17-gen-99;10.00;57;;;
17-gen-99;11.00;56;;;
17-gen-99;12.00;41;;;
17-gen-99;13.00;22;;;
17-gen-99;14.00;-1;;;
17-gen-99;15.00;-24;;;
17-gen-99;16.00;-41;;;
17-gen-99;17.00;-52;;;
17-gen-99;18.00;-48;;;
17-gen-99;19.00;-32;;;
17-gen-99;20.00;-8;;;
17-gen-99;21.00;12;;;
17-gen-99;22.00;28;;;
17-gen-99;23.00;39;;;
17-gen-99;0.00;42;;;
18-gen-99;1.00;33;;;
18-gen-99;2.00;17;;;
18-gen-99;3.00;1;;;
18-gen-99;4.00;-10;;;
18-gen-99;5.00;-16;;;
18-gen-99;6.00;-10;;;
18-gen-99;7.00;4;;;
18-gen-99;8.00;23;;;
18-gen-99;9.00;42;;;
18-gen-99;10.00;55;;;
18-gen-99;11.00;57;;;
18-gen-99;12.00;46;;;
18-gen-99;13.00;24;;;
18-gen-99;14.00;0;;;
18-gen-99;15.00;-24;;;
18-gen-99;16.00;-45;;;
18-gen-99;17.00;-60;;;
18-gen-99;18.00;-60;;;
18-gen-99;19.00;-44;;;
18-gen-99;20.00;-24;;;
18-gen-99;21.00;-1;;;
18-gen-99;22.00;19;;;
18-gen-99;23.00;31;;;
18-gen-99;0.00;36;;;
19-gen-99;1.00;31;;;
19-gen-99;2.00;20;;;
19-gen-99;3.00;4;;;
19-gen-99;4.00;-9;;;
19-gen-99;5.00;-16;;;
19-gen-99;6.00;-16;;;
19-gen-99;7.00;-5;;;
19-gen-99;8.00;11;;;
19-gen-99;9.00;31;;;
19-gen-99;10.00;43;;;
19-gen-99;11.00;48;;;
19-gen-99;12.00;43;;;
19-gen-99;13.00;28;;;
19-gen-99;14.00;8;;;
19-gen-99;15.00;-16;;;
19-gen-99;16.00;-37;;;
19-gen-99;17.00;-53;;;
19-gen-99;18.00;-58;;;
19-gen-99;19.00;-50;;;
19-gen-99;20.00;-33;;;
19-gen-99;21.00;-10;;;
19-gen-99;22.00;8;;;
19-gen-99;23.00;22;;;
19-gen-99;0.00;31;;;
20-gen-99;1.00;35;;;
20-gen-99;2.00;27;;;
20-gen-99;3.00;14;;;
20-gen-99;4.00;1;;;
20-gen-99;5.00;-9;;;
20-gen-99;6.00;-16;;;
20-gen-99;7.00;-13;;;
20-gen-99;8.00;-3;;;
20-gen-99;9.00;12;;;
20-gen-99;10.00;27;;;
20-gen-99;11.00;38;;;
20-gen-99;12.00;41;;;
20-gen-99;13.00;32;;;
20-gen-99;14.00;14;;;
20-gen-99;15.00;-7;;;
20-gen-99;16.00;-28;;;
20-gen-99;17.00;-47;;;
20-gen-99;18.00;-57;;;
20-gen-99;19.00;-57;;;
20-gen-99;20.00;-44;;;
20-gen-99;21.00;-28;;;
20-gen-99;22.00;-6;;;
20-gen-99;23.00;11;;;
20-gen-99;0.00;23;;;
21-gen-99;1.00;31;;;
21-gen-99;2.00;32;;;
21-gen-99;3.00;24;;;
21-gen-99;4.00;11;;;
21-gen-99;5.00;-4;;;
21-gen-99;6.00;-13;;;
21-gen-99;7.00;-16;;;
21-gen-99;8.00;-12;;;
21-gen-99;9.00;0;;;
21-gen-99;10.00;15;;;
21-gen-99;11.00;28;;;
21-gen-99;12.00;36;;;
21-gen-99;13.00;36;;;
21-gen-99;14.00;24;;;
21-gen-99;15.00;7;;;
21-gen-99;16.00;-13;;;
21-gen-99;17.00;-33;;;
21-gen-99;18.00;-48;;;
21-gen-99;19.00;-53;;;
21-gen-99;20.00;-48;;;
21-gen-99;21.00;-33;;;
21-gen-99;22.00;-12;;;
21-gen-99;23.00;7;;;
