Data;Ora solare;Livello Punta Salute (cm);
19-gen-88;18.00;-47;
19-gen-88;19.00;-33;
19-gen-88;20.00;-11;
19-gen-88;21.00;12;
19-gen-88;22.00;32;
19-gen-88;23.00;46;
20-gen-88;0.00;54;
20-gen-88;1.00;52;
20-gen-88;2.00;39;
20-gen-88;3.00;25;
20-gen-88;4.00;11;
20-gen-88;5.00;2;
20-gen-88;6.00;1;
20-gen-88;7.00;14;
20-gen-88;8.00;28;
20-gen-88;9.00;44;
20-gen-88;10.00;55;
20-gen-88;11.00;63;
20-gen-88;12.00;56;
20-gen-88;13.00;43;
20-gen-88;14.00;23;
20-gen-88;15.00;-1;
20-gen-88;16.00;-21;
20-gen-88;17.00;-40;
20-gen-88;18.00;-48;
20-gen-88;19.00;-41;
20-gen-88;20.00;-23;
20-gen-88;21.00;0;
20-gen-88;22.00;25;
20-gen-88;23.00;44;
21-gen-88;0.00;57;
21-gen-88;1.00;60;
21-gen-88;2.00;55;
21-gen-88;3.00;41;
21-gen-88;4.00;27;
21-gen-88;5.00;12;
21-gen-88;6.00;6;
21-gen-88;7.00;7;
21-gen-88;8.00;19;
21-gen-88;9.00;36;
21-gen-88;10.00;52;
21-gen-88;11.00;65;
21-gen-88;12.00;68;
21-gen-88;13.00;57;
21-gen-88;14.00;41;
21-gen-88;15.00;20;
21-gen-88;16.00;-2;
21-gen-88;17.00;-21;
21-gen-88;18.00;-32;
21-gen-88;19.00;-33;
21-gen-88;20.00;-20;
21-gen-88;21.00;-1;
21-gen-88;22.00;23;
21-gen-88;23.00;41;
22-gen-88;0.00;55;
22-gen-88;1.00;64;
22-gen-88;2.00;67;
22-gen-88;3.00;57;
22-gen-88;4.00;40;
22-gen-88;5.00;23;
22-gen-88;6.00;8;
22-gen-88;7.00;-1;
22-gen-88;8.00;-1;
22-gen-88;9.00;14;
22-gen-88;10.00;30;
22-gen-88;11.00;44;
22-gen-88;12.00;52;
22-gen-88;13.00;52;
22-gen-88;14.00;41;
22-gen-88;15.00;23;
22-gen-88;16.00;3;
22-gen-88;17.00;-16;
22-gen-88;18.00;-28;
22-gen-88;19.00;-32;
22-gen-88;20.00;-21;
22-gen-88;21.00;-4;
22-gen-88;22.00;19;
22-gen-88;23.00;39;
23-gen-88;0.00;55;
23-gen-88;1.00;68;
23-gen-88;2.00;72;
23-gen-88;3.00;65;
23-gen-88;4.00;52;
23-gen-88;5.00;35;
23-gen-88;6.00;19;
23-gen-88;7.00;9;
23-gen-88;8.00;9;
23-gen-88;9.00;14;
23-gen-88;10.00;17;
23-gen-88;11.00;27;
23-gen-88;12.00;43;
23-gen-88;13.00;48;
23-gen-88;14.00;36;
23-gen-88;15.00;23;
23-gen-88;16.00;6;
23-gen-88;17.00;-10;
23-gen-88;18.00;-21;
23-gen-88;19.00;-25;
23-gen-88;20.00;-21;
23-gen-88;21.00;-9;
23-gen-88;22.00;9;
23-gen-88;23.00;30;
24-gen-88;0.00;43;
24-gen-88;1.00;55;
24-gen-88;2.00;63;
24-gen-88;3.00;62;
24-gen-88;4.00;51;
24-gen-88;5.00;39;
24-gen-88;6.00;24;
24-gen-88;7.00;12;
24-gen-88;8.00;8;
24-gen-88;9.00;8;
24-gen-88;10.00;9;
24-gen-88;11.00;12;
24-gen-88;12.00;20;
24-gen-88;13.00;23;
24-gen-88;14.00;25;
24-gen-88;15.00;25;
24-gen-88;16.00;19;
24-gen-88;17.00;7;
24-gen-88;18.00;-5;
24-gen-88;19.00;-12;
24-gen-88;20.00;-15;
24-gen-88;21.00;-8;
24-gen-88;22.00;7;
24-gen-88;23.00;24;
25-gen-88;0.00;39;
25-gen-88;1.00;54;
25-gen-88;2.00;63;
25-gen-88;3.00;64;
25-gen-88;4.00;62;
25-gen-88;5.00;53;
25-gen-88;6.00;40;
25-gen-88;7.00;30;
25-gen-88;8.00;19;
25-gen-88;9.00;11;
25-gen-88;10.00;9;
25-gen-88;11.00;14;
25-gen-88;12.00;25;
25-gen-88;13.00;36;
25-gen-88;14.00;43;
25-gen-88;15.00;46;
25-gen-88;16.00;43;
25-gen-88;17.00;38;
25-gen-88;18.00;32;
25-gen-88;19.00;30;
25-gen-88;20.00;31;
25-gen-88;21.00;41;
25-gen-88;22.00;55;
25-gen-88;23.00;70;
26-gen-88;0.00;75;
26-gen-88;1.00;72;
26-gen-88;2.00;72;
26-gen-88;3.00;72;
26-gen-88;4.00;67;
26-gen-88;5.00;57;
26-gen-88;6.00;51;
26-gen-88;7.00;41;
26-gen-88;8.00;31;
26-gen-88;9.00;15;
26-gen-88;10.00;6;
26-gen-88;11.00;6;
26-gen-88;12.00;8;
26-gen-88;13.00;8;
26-gen-88;14.00;8;
26-gen-88;15.00;9;
26-gen-88;16.00;13;
26-gen-88;17.00;20;
26-gen-88;18.00;27;
26-gen-88;19.00;36;
26-gen-88;20.00;41;
26-gen-88;21.00;43;
26-gen-88;22.00;43;
26-gen-88;23.00;43;
27-gen-88;0.00;44;
27-gen-88;1.00;46;
27-gen-88;2.00;48;
27-gen-88;3.00;52;
27-gen-88;4.00;52;
27-gen-88;5.00;48;
27-gen-88;6.00;43;
27-gen-88;7.00;36;
27-gen-88;8.00;27;
27-gen-88;9.00;19;
27-gen-88;10.00;11;
27-gen-88;11.00;1;
27-gen-88;12.00;-7;
27-gen-88;13.00;-10;
27-gen-88;14.00;-8;
27-gen-88;15.00;0;
27-gen-88;16.00;12;
27-gen-88;17.00;24;
27-gen-88;18.00;34;
27-gen-88;19.00;37;
27-gen-88;20.00;36;
27-gen-88;21.00;33;
27-gen-88;22.00;28;
27-gen-88;23.00;24;
28-gen-88;0.00;23;
28-gen-88;1.00;27;
28-gen-88;2.00;30;
28-gen-88;3.00;32;
28-gen-88;4.00;36;
28-gen-88;5.00;39;
28-gen-88;6.00;39;
28-gen-88;7.00;39;
28-gen-88;8.00;36;
28-gen-88;9.00;28;
28-gen-88;10.00;16;
28-gen-88;11.00;7;
28-gen-88;12.00;-1;
28-gen-88;13.00;-6;
28-gen-88;14.00;-5;
28-gen-88;15.00;1;
28-gen-88;16.00;11;
28-gen-88;17.00;22;
28-gen-88;18.00;30;
28-gen-88;19.00;35;
28-gen-88;20.00;37;
28-gen-88;21.00;37;
28-gen-88;22.00;36;
28-gen-88;23.00;36;
29-gen-88;0.00;33;
29-gen-88;1.00;33;
29-gen-88;2.00;36;
29-gen-88;3.00;39;
29-gen-88;4.00;46;
29-gen-88;5.00;52;
29-gen-88;6.00;55;
29-gen-88;7.00;60;
29-gen-88;8.00;62;
29-gen-88;9.00;60;
29-gen-88;10.00;59;
29-gen-88;11.00;55;
29-gen-88;12.00;48;
29-gen-88;13.00;36;
29-gen-88;14.00;26;
29-gen-88;15.00;23;
29-gen-88;16.00;23;
29-gen-88;17.00;27;
29-gen-88;18.00;36;
29-gen-88;19.00;47;
29-gen-88;20.00;59;
29-gen-88;21.00;65;
29-gen-88;22.00;68;
29-gen-88;23.00;65;
30-gen-88;0.00;55;
30-gen-88;1.00;47;
30-gen-88;2.00;43;
30-gen-88;3.00;41;
30-gen-88;4.00;45;
30-gen-88;5.00;52;
30-gen-88;6.00;63;
30-gen-88;7.00;72;
30-gen-88;8.00;78;
30-gen-88;9.00;80;
30-gen-88;10.00;75;
30-gen-88;11.00;63;
30-gen-88;12.00;48;
30-gen-88;13.00;35;
30-gen-88;14.00;15;
30-gen-88;15.00;0;
30-gen-88;16.00;-7;
30-gen-88;17.00;-6;
30-gen-88;18.00;8;
30-gen-88;19.00;27;
30-gen-88;20.00;41;
30-gen-88;21.00;48;
30-gen-88;22.00;52;
30-gen-88;23.00;55;
31-gen-88;0.00;51;
31-gen-88;1.00;43;
31-gen-88;2.00;35;
31-gen-88;3.00;31;
31-gen-88;4.00;29;
31-gen-88;5.00;36;
31-gen-88;6.00;52;
31-gen-88;7.00;65;
31-gen-88;8.00;75;
31-gen-88;9.00;83;
31-gen-88;10.00;80;
31-gen-88;11.00;63;
31-gen-88;12.00;43;
31-gen-88;13.00;23;
31-gen-88;14.00;3;
31-gen-88;15.00;-13;
31-gen-88;16.00;-21;
31-gen-88;17.00;-16;
31-gen-88;18.00;-3;
31-gen-88;19.00;15;
31-gen-88;20.00;31;
31-gen-88;21.00;44;
31-gen-88;22.00;52;
31-gen-88;23.00;51;
1-feb-88;0.00;43;
1-feb-88;1.00;31;
1-feb-88;2.00;20;
1-feb-88;3.00;14;
1-feb-88;4.00;16;
1-feb-88;5.00;24;
1-feb-88;6.00;38;
1-feb-88;7.00;51;
1-feb-88;8.00;59;
1-feb-88;9.00;63;
1-feb-88;10.00;59;
1-feb-88;11.00;46;
1-feb-88;12.00;30;
1-feb-88;13.00;11;
1-feb-88;14.00;-9;
1-feb-88;15.00;-26;
1-feb-88;16.00;-39;
1-feb-88;17.00;-39;
1-feb-88;18.00;-25;
1-feb-88;19.00;-4;
1-feb-88;20.00;17;
1-feb-88;21.00;36;
1-feb-88;22.00;48;
1-feb-88;23.00;54;
2-feb-88;0.00;54;
2-feb-88;1.00;47;
2-feb-88;2.00;39;
2-feb-88;3.00;34;
2-feb-88;4.00;32;
2-feb-88;5.00;38;
2-feb-88;6.00;46;
2-feb-88;7.00;59;
2-feb-88;8.00;68;
2-feb-88;9.00;76;
2-feb-88;10.00;84;
2-feb-88;11.00;81;
2-feb-88;12.00;67;
2-feb-88;13.00;44;
2-feb-88;14.00;24;
2-feb-88;15.00;4;
2-feb-88;16.00;-15;
2-feb-88;17.00;-25;
2-feb-88;18.00;-22;
2-feb-88;19.00;-6;
2-feb-88;20.00;14;
2-feb-88;21.00;35;
2-feb-88;22.00;49;
2-feb-88;23.00;59;
3-feb-88;0.00;62;
3-feb-88;1.00;54;
3-feb-88;2.00;40;
3-feb-88;3.00;25;
3-feb-88;4.00;14;
3-feb-88;5.00;9;
3-feb-88;6.00;16;
3-feb-88;7.00;31;
3-feb-88;8.00;48;
3-feb-88;9.00;63;
3-feb-88;10.00;71;
3-feb-88;11.00;71;
